Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,CZ error,Gate length (ns),RZZ error,MEASURE error,Operational
71,151.95395078847352,136.34952225619188,0.010009765625,0.01953125,0.00048828125,2584,0.00026698808728296033,36,0.00026698808728296033,0,0.00026698808728296033,0.00026698808728296033,72:0.003555073713448653;58:0.0018120807651478832;70:0.0021060562732714005,72:68;58:68;70:68,72:0.004313687336331529;58:0.0035303990278117703;70:0.0018130718836344983,0.010009765625,Yes
72,142.19443057554665,56.9515637918174,0.010986328125,0.0205078125,0.00146484375,2584,0.0008163661905131926,36,0.0008163661905131926,0,0.0008163661905131926,0.0008163661905131926,73:0.0034766140597771167;71:0.003555073713448653,73:68;71:68,73:0.0050199142951390385;71:0.004313687336331529,0.010986328125,Yes
73,210.43941781656247,155.0094147134142,0.020263671875,0.02685546875,0.013671875,2584,0.00027602367173558585,36,0.00027602367173558585,0,0.00027602367173558585,0.00027602367173558585,72:0.0034766140597771167;74:0.003145263143328497;79:0.0028972908248302287,72:68;74:68;79:68,72:0.0050199142951390385;74:0.0028771620302197876;79:0.0024937119867157465,0.020263671875,Yes
74,108.0553350811726,10.180363485344975,0.031982421875,0.04296875,0.02099609375,2584,0.0002788048432562535,36,0.0002788048432562535,0,0.0002788048432562535,0.0002788048432562535,73:0.003145263143328497;75:0.002558629771858084,73:68;75:68,73:0.0028771620302197876;75:0.0019172562049649122,0.031982421875,Yes
75,328.74909773180093,13.151144728717943,0.008056640625,0.01123046875,0.0048828125,2584,0.0003397103186969194,36,0.0003397103186969194,0,0.0003397103186969194,0.0003397103186969194,59:0.0015734461884482354;74:0.002558629771858084,59:68;74:68,59:0.001537604572822232;74:0.0019172562049649122,0.008056640625,Yes
76,103.75509862642856,34.43581079668895,0.0126953125,0.01220703125,0.01318359375,2584,0.000396193287954544,36,0.000396193287954544,0,0.000396193287954544,0.000396193287954544,81:0.004669199858939377;61:0.0019024738778075645,81:68;61:68,81:0.003141048327340107;61:0.002250267905829856,0.0126953125,Yes
77,253.79109393622323,115.24845023522944,0.0068359375,0.009765625,0.00390625,2584,0.0003360290040840686,36,0.0003360290040840686,0,0.0003360290040840686,0.0003360290040840686,85:0.004400006973075382;65:0.002655536489882593,85:68;65:68,85:0.0039969295468429145;65:0.0019877173176459095,0.0068359375,Yes
78,145.7497618760053,50.998654779597814,0.008544921875,0.009765625,0.00732421875,2584,0.000261178351310854,36,0.000261178351310854,0,0.000261178351310854,0.000261178351310854,69:0.00196374869386301;89:0.0012818348253403056,69:68;89:68,69:0.0025061531935246795;89:0.0020401602955717746,0.008544921875,Yes
79,138.44457460082452,36.601646632213374,0.09716796875,0.1025390625,0.091796875,2584,0.00031135793520283255,36,0.00031135793520283255,0,0.00031135793520283255,0.00031135793520283255,93:0.0032586020972097673;73:0.0028972908248302287,93:68;73:68,93:0.002568194383049227;73:0.0024937119867157465,0.09716796875,Yes
80,209.68979625621415,49.47953126647249,0.007568359375,0.01318359375,0.001953125,2584,0.00031489860807734437,36,0.00031489860807734437,0,0.00031489860807734437,0.00031489860807734437,81:0.008923685773252338,81:68,81:0.003933162389361311,0.007568359375,Yes
81,152.1696722123161,168.13187106392064,0.042724609375,0.03271484375,0.052734375,2584,0.0004314651308433359,36,0.0004314651308433359,0,0.0004314651308433359,0.0004314651308433359,80:0.008923685773252338;76:0.004669199858939377,80:68;82:68;76:68,80:0.003933162389361311;82:0.19270810687735135;76:0.003141048327340107,0.042724609375,Yes
82,5.958590107971817,6.440762177221647,0.509033203125,0.24658203125,0.771484375,2584,,36,,0,,,,81:68;83:68,81:0.19270810687735135,0.509033203125,Yes
83,226.09665399605208,260.7106442765752,0.11083984375,0.11572265625,0.10595703125,2584,0.00039056601754001367,36,0.00039056601754001367,0,0.00039056601754001367,0.00039056601754001367,96:0.007070665425893574;84:0.004271448534812844,96:68;82:68;84:68,96:0.00507937457495497;84:0.004562571631250345,0.11083984375,Yes
84,188.03048058572801,195.19181974109725,0.012939453125,0.01806640625,0.0078125,2584,0.0004874275753875973,36,0.0004874275753875973,0,0.0004874275753875973,0.0004874275753875973,83:0.004271448534812844;85:0.0030250091390153777,83:68;85:68,83:0.004562571631250345;85:0.002839598241970692,0.012939453125,Yes
85,137.4380074450588,99.65762314262595,0.0849609375,0.05078125,0.119140625,2584,0.00027586751491225347,36,0.00027586751491225347,0,0.00027586751491225347,0.00027586751491225347,77:0.004400006973075382;86:0.0026651349971392735;84:0.0030250091390153777,77:68;86:68;84:68,77:0.0039969295468429145;86:0.014719639497480924;84:0.002839598241970692,0.0849609375,Yes
